"","country","SFTGcode","COW","risk_in_2017","risk_2017_18","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"58","Madagascar","MAG",580,0.007391,0.0115,0,0,1,0,0,0,0,4.04305126783455,17.0296025420793,5.9916608715781,0.014751552795031,1,1,1.09861228866811,0,0.88,0,1,4,1,4,0,1,1,0.660796445984747,0,0,0,1,-2.12992131942759,0,0,1
"59","Ecuador","ECU",130,0.009057,0.01144,0,0,0,0,0,0,0,5.23110861685459,16.6162182366195,4.28952211790544,-0.0346344145134689,1,1,2.83321334405622,0,0.66,0,1,4,1,4,0,1,1,0.966330256871496,0,0,0,0,-2.75010181701143,0,1,0
"60","Eritrea","ERI",531,0.007142,0.01141,0,0,1,0,0,0,0,3.17805383034795,15.5938470068602,5.83952052826257,0,0,1,3.17805383034795,0,0.65,0,1,0,1,1,0,0,0,0.0775719256168359,0,1,1,1,-1.37217956909769,1,0,0
"61","Colombia","COL",100,0.007049,0.01109,0,1,0,0,0,0,0,5.28826703069454,17.6950518009599,3.68781778291716,0.0081661222585161,1,1,4.0943445622221,0,0.6,3.43398720448515,1,4,1,4,0,1,1,0.760340309106565,0,0,0,1,-2.81742258594942,0,0,1
"62","Liberia","LBR",450,0.005807,0.01109,0,1,1,0,0,0,0,5.13579843705026,15.384696704186,7.26636084983398,-0.0426065162907269,0,1,2.39789527279837,0,0.91,0,1,4,1,4,0,1,1,0.816307151528777,0,0,0,0,-1.52573246039035,0,0,1
"63","Papua New Guinea","PNG",910,0.006459,0.01048,0,1,0,1,0,0,0,3.73766961828337,15.9244137492417,6.67083203206317,0.00917572686897092,0,1,3.73766961828337,1,0.27,0,1,4,1,4,0,1,1,0.805208665485926,0,1,0,0,-0.957050061245612,1,1,0
"64","Sri Lanka","SRI",780,0.00655,0.01022,0,1,0,0,0,0,1,3.80666248977032,16.8707396862669,2.89827534923789,0.0357741755170486,1,1,0.693147180559945,0,0.42,0,1,4,1,3,0,1,1,0.767099673038389,0,1,0,0,-2.4789252272521,0,0,1
"65","Haiti","HAI",41,0.008032,0.01016,0,1,0,0,0,0,0,5.36129216570943,16.2110324066506,7.22495674727538,-0.00788356579745297,0,1,0,1,0.1,0,1,4,1,4,0,1,1,0.838086983944256,0,1,0,1,-2.06848271259911,0,1,0
"66","Kyrgyzstan","KYR",703,0.006845,0.00952,0,0,0,0,0,0,1,3.25809653802148,15.6486934961953,4.35889894354067,0.0262267343485618,1,1,1.79175946922805,0,0.68,0,1,4,1,2,0,1,1,0.709001944213907,0,0,0,1,-1.67550870802366,0,0,1
"67","Peru","PER",135,0.005994,0.009503,0,1,0,0,0,0,0,4.92725368515721,17.2715494470409,3.61939221417077,0.028979045920642,1,1,2.77258872223978,0,0.66,0,1,4,1,4,0,1,1,0.867276685491698,0,0,0,1,-2.58598449754776,0,0,1
"68","Equatorial Guinea","EQG",411,0.006074,0.009454,0,1,1,0,0,0,0,3.89182029811063,14.1831512730019,8.25832912882503,-0.119100243404303,1,1,3.87120101090789,1,0.35,0,1,3,1,3,0,0,0,0.0958296710239267,0,0,0,1,-1.8197778613444,0,0,0
"69","Burkina Faso","BFO",439,0.006178,0.009436,0,0,1,0,0,0,0,4.04305126783455,16.7437689783054,7.80384520605067,0.0222658808120497,1,1,0.693147180559945,0,0.74,0,1,4,2,4,0,1,1,0.86135486359473,0,1,0,0,-2.24278116196675,1,0,1
"70","Philippines","PHI",840,0.007451,0.009433,1,1,0,1,0,0,0,4.77912349311153,18.4455901499286,4.7116875957559,0.0513828238719067,1,1,3.40119738166216,1,0.24,4.06044301054642,1,4,1,3,0,1,1,0.708709346219744,0,0,0,1,-2.19950967468889,0,0,1
"71","United Arab Emirates","UAE",696,0.006153,0.009181,0,0,0,0,0,1,0,3.8286413964891,16.0574934896692,2.42899156029822,0.0151219723558214,0,1,3.8286413964891,0,0.63,0,1,0,1,4,0,0,0,0.684708752604857,0,1,0,1,-1.12571825327548,0,0,0
"72","Mexico","MEX",70,0.006343,0.008954,0,0,0,0,0,0,0,5.27811465923052,18.6557549193676,3.36154726279432,0.00234682227578342,1,1,2.99573227355399,0,0.54,0,1,4,1,4,0,1,1,0.816146102808898,0,0,0,1,-2.02718096774515,0,0,1
"73","Kuwait","KUW",690,0.005048,0.008642,0,0,0,0,0,1,0,4.02535169073515,15.26174940583,2.70185121722126,-0.00482921602301589,0,1,3.97029191355212,0,0.66,0,0,1,2,2,0,0,0,0.531413235695117,0,1,0,1,-1.79498198457512,0,0,0
"74","United States of America","USA",2,0.00557,0.008374,0,0,0,0,0,0,0,5.4553211153577,19.5851039187678,2.36643191323985,0.00585864348352761,0,1,5.33753807970132,0,0.49,4.77068462446567,1,4,1,4,0,1,1,0.971136022416899,0,1,0,0,-3.15635557563899,0,0,1
"75","Democratic Republic of Vietnam","VIE",816,0.005742,0.008264,0,1,0,1,0,0,0,3.71357206670431,18.3572996525458,4.15932686861708,0.0519797662654806,0,1,4.14313472639153,1,0.24,0,1,0,2,2,0,1,0,0.64198738003176,0,0,0,1,-1.07862714236582,0,0,0
"76","Zambia","ZAM",551,0.005549,0.008242,0,0,1,0,0,0,0,3.97029191355212,16.6285540579505,6.58027355054484,0.000282725473565115,1,1,2.77258872223978,0,0.78,0,1,4,1,4,0,1,1,0.740884940450208,0,0,0,0,-2.05950821385317,0,0,1
"77","Qatar","QAT",694,0.004729,0.00824,0,0,0,0,0,1,0,3.8286413964891,14.8376578218361,2.60768096208106,0.0017270785856589,0,1,3.8286413964891,1,0.75,0,0,2,1,1,0,0,0,0.195794374132254,1,1,0,1,-1.85970827843037,0,0,0
"78","Turkmenistan","TKM",701,0.008432,0.008,0,0,0,0,0,0,1,3.25809653802148,15.5804079965835,6.61059755241536,0.0501363935659862,1,1,3.25809653802148,1,0.39,0,1,0,1,1,0,0,0,0.0844530937724357,0,1,0,1,-1.24570847639494,0,0,0
"79","The Gambia","GAM",420,0.005712,0.007195,0,0,1,0,0,0,0,3.95124371858143,14.6278465237703,6.92098258919931,0.011705875155816,1,1,2.99573227355399,1,0.79,0,0,4,1,3,0,1,1,0.297073058675169,0,1,0,1,-2.19988389278998,1,1,0
"80","Guatemala","GUA",90,0.00484,0.006907,0,1,0,0,0,0,0,5.18178355029209,16.6280238145514,4.9295030175465,0.0116229624379873,1,1,3.04452243772342,1,0.51,0,1,4,1,4,0,1,1,0.705748869493515,1,0,0,1,-2.5453152746029,0,0,1
"81","Argentina","ARG",160,0.004661,0.006856,0,1,0,0,0,0,0,5.30330490805908,17.5915779493165,3.33166624979154,-0.0321495133568026,1,1,3.52636052461616,0,0.26,0,1,4,1,4,0,1,1,0.953119344346351,0,0,0,0,-3.17498550568361,0,0,1
"82","Bhutan","BHU",760,0.005796,0.006779,0,0,0,0,0,0,1,4.88280192258637,13.8400418157394,5.21536192416212,0.0578913384173647,0,1,2.19722457733622,0,0.6,0,1,3,2,3,0,1,1,0.650233029418844,0,1,0,0,-1.9383306034458,0,1,0
"83","Guinea-Bissau","GNB",404,0.005049,0.006683,0,0,1,0,0,0,0,3.76120011569356,14.5248213262051,7.76530746332687,0.0312261995430312,1,1,1.09861228866811,0,0.81,0,1,4,1,4,0,1,1,0.731312942721167,0,0,0,1,-2.32350305913059,1,0,1
"84","Azerbaijan","AZE",373,0.00519,0.006643,0,1,0,0,1,0,0,3.25809653802148,16.1075699342028,5.2820450584977,-0.0466812090994079,1,1,3.09104245335832,1,0.2,4.95582705760126,1,4,1,2,0,1,0,0.348441845168866,0,0,0,1,-1.84818440235632,0,0,0
"85","Malawi","MAW",553,0.004146,0.006596,0,1,1,0,0,0,0,3.97029191355212,16.7139459920435,6.58786763680024,-0.0104166666666666,1,1,3.13549421592915,0,0.67,0,0,4,1,4,0,1,1,0.877587048058371,0,1,0,1,-2.00375222279844,0,0,1
"86","Cuba","CUB",40,0.005343,0.006528,0,1,0,0,0,0,0,5.00394630594546,16.2661954128439,2,-0.009,0,1,4.02535169073515,0,0.59,0,1,0,1,3,0,0,0,0.140723915531897,0,1,0,0,-2.97099811505619,0,0,0
"87","Djibouti","DJI",522,0.006099,0.006399,0,0,1,0,0,0,0,3.68887945411394,13.9707667683996,7.36206492772238,0.065,1,1,2.89037175789616,1,0.8,0,1,3,1,3,0,1,0,0.493057094011294,0,0,0,1,-1.91480165221539,0,1,0
